CRT,SectorName_x,FuelName,SectorID,FuelID,SectorName_y,GNFR
1.A.1.a,Public electricity and heat production,Biomass,1100,400,Public electricity and heat production,A
1.A.1.a,Public electricity and heat production,Gaseous fuels,1100,300,Public electricity and heat production,A
1.A.1.a,Public electricity and heat production,Liquid fuels,1100,200,Public electricity and heat production,A
1.A.1.a,Public electricity and heat production,Other fossil fuels,1100,500,Public electricity and heat production,A
1.A.1.a,Public electricity and heat production,Peat,1100,140,Public electricity and heat production,A
1.A.1.a,Public electricity and heat production,Solid fuels,1100,100,Public electricity and heat production,A
,,,1200,,Oil and gas refining,B
1.A.1.b,Petroleum refining,Biomass,1210,400,Oil and gas refining (comb),B
1.A.1.b,Petroleum refining,Gaseous fuels,1210,300,Oil and gas refining (comb),B
1.A.1.b,Petroleum refining,Liquid fuels,1210,200,Oil and gas refining (comb),B
1.A.1.b,Petroleum refining,Other fossil fuels,1210,500,Oil and gas refining (comb),B
1.A.1.b,Petroleum refining,Peat,1210,140,Oil and gas refining (comb),B
1.A.1.b,Petroleum refining,Solid fuels,1210,100,Oil and gas refining (comb),B
,,,1220,,Oil and gas refining,B
1.A.1.c,Manufacture of solid fuels and other energy industries,Biomass,1300,400,Manufacture of solid fuels and other energy industries,B
1.A.1.c,Manufacture of solid fuels and other energy industries,Gaseous fuels,1300,300,Manufacture of solid fuels and other energy industries,B
1.A.1.c,Manufacture of solid fuels and other energy industries,Liquid fuels,1300,200,Manufacture of solid fuels and other energy industries,B
1.A.1.c,Manufacture of solid fuels and other energy industries,Other fossil fuels,1300,500,Manufacture of solid fuels and other energy industries,B
1.A.1.c,Manufacture of solid fuels and other energy industries,Peat,1300,140,Manufacture of solid fuels and other energy industries,B
1.A.1.c,Manufacture of solid fuels and other energy industries,Solid fuels,1300,100,Manufacture of solid fuels and other energy industries,B
1.A.1.c.iii,Other energy industries,Biomass,1310,400,Coal mining (comb),B
1.A.1.c.iii,Other energy industries,Gaseous fuels,1310,300,Coal mining (comb),B
1.A.1.c.iii,Other energy industries,Liquid fuels,1310,200,Coal mining (comb),B
1.A.1.c.iii,Other energy industries,Other fossil fuels,1310,500,Coal mining (comb),B
1.A.1.c.iii,Other energy industries,Peat,1310,140,Coal mining (comb),B
1.A.1.c.iii,Other energy industries,Solid fuels,1310,100,Coal mining (comb),B
1.A.1.c.ii,Oil and gas extraction,Biomass,1320,400,Oil production (comb),B
1.A.1.c.ii,Oil and gas extraction,Gaseous fuels,1320,300,Oil production (comb),B
1.A.1.c.ii,Oil and gas extraction,Liquid fuels,1320,200,Oil production (comb),B
1.A.1.c.ii,Oil and gas extraction,Other fossil fuels,1320,500,Oil production (comb),B
1.A.1.c.ii,Oil and gas extraction,Peat,1320,140,Oil production (comb),B
1.A.1.c.ii,Oil and gas extraction,Solid fuels,1320,100,Oil production (comb),B
,,,1330,,Natural gas production (comb),B
1.A.1.c.i,Manufacture of solid fuels,Biomass,1340,400,Coke ovens (comb),B
1.A.1.c.i,Manufacture of solid fuels,Gaseous fuels,1340,300,Coke ovens (comb),B
1.A.1.c.i,Manufacture of solid fuels,Liquid fuels,1340,200,Coke ovens (comb),B
1.A.1.c.i,Manufacture of solid fuels,Other fossil fuels,1340,500,Coke ovens (comb),B
1.A.1.c.i,Manufacture of solid fuels,Peat,1340,140,Coke ovens (comb),B
1.A.1.c.i,Manufacture of solid fuels,Solid fuels,1340,100,Coke ovens (comb),B
,,,1400,,Fugitive emissions from solid fuels,D
1.B.1.a,Coal mining and handling,,1410,0,Coal mining and handling,D
1.B.1.b,Solid fuel transformation,,1420,0,Coke ovens,B
1.B.1.c,Other (as specified in table 1.B.1),,1430,0,Other,D
,,,1500,,Fugitive emissions from oil,D
1.B.2.a,Oil,,1510,0,"Exploration, production, transport",D
,,,1520,,Distribution of oil products,D
1.B.2.b,Natural gas,,1600,0,Fugitive emissions from gas,D
,,,1610,,Natural gas - production,D
,,,1620,,Natural gas - high pressure distribution,D
,,,1630,,Natural gas - low pressure distribution,D
1.B.2.c,Venting and flaring,,1700,0,"Venting and flaring (oil, gas, combined oil and gas)",D
,,,1800,,Other fugitive emissions,D
1.B.2.d,Other (as specified in table 1.B.2),,1810,0,Other fugitive emissions from energy production,D
1.C.1,Transport of CO2,,1820,0,Transport of CO2,D
1.C.2,Injection and storage,,1830,0,Injection and storage,D
,,,2100,,Iron and steel industry,B
1.A.2.a,Iron and steel,Biomass,2110,400,Iron and steel industry (comb),B
1.A.2.a,Iron and steel,Gaseous fuels,2110,300,Iron and steel industry (comb),B
1.A.2.a,Iron and steel,Liquid fuels,2110,200,Iron and steel industry (comb),B
1.A.2.a,Iron and steel,Other fossil fuels,2110,500,Iron and steel industry (comb),B
1.A.2.a,Iron and steel,Peat,2110,140,Iron and steel industry (comb),B
1.A.2.a,Iron and steel,Solid fuels,2110,100,Iron and steel industry (comb),B
2.C.1,Iron and steel production,,2120,0,Iron and steel production,B
2.H.3.Flaring in iron and steel production (N2O emissions),Flaring in iron and steel production (N2O emissions),,2120,0,Iron and steel production,B
,,,2121,,"Iron and steel industry, coke ovens",B
,,,2122,,"Iron and steel industry, sinter production",B
,,,2123,,"Iron and steel industry, pellet production",B
,,,2124,,"Iron and steel industry, pig iron",B
,,,2125,,"Iron and steel industry, cast iron",B
,,,2126,,"Iron and steel industry, basic oxygen furnace",B
,,,2127,,"Iron and steel industry, open hearth furnace",B
,,,2128,,"Iron and steel industry, electric arc furnace",B
2.C.2,Ferroalloys production,,2129,0,Ferroalloys production,B
,,,2200,,Non-ferrous metal industry,B
1.A.2.b,Non-ferrous metals,Biomass,2210,400,Non-ferrous metals (comb),B
1.A.2.b,Non-ferrous metals,Gaseous fuels,2210,300,Non-ferrous metals (comb),B
1.A.2.b,Non-ferrous metals,Liquid fuels,2210,200,Non-ferrous metals (comb),B
1.A.2.b,Non-ferrous metals,Other fossil fuels,2210,500,Non-ferrous metals (comb),B
1.A.2.b,Non-ferrous metals,Peat,2210,140,Non-ferrous metals (comb),B
1.A.2.b,Non-ferrous metals,Solid fuels,2210,100,Non-ferrous metals (comb),B
2.C.3,Aluminium production,,2220,0,Aluminium production,B
,,,2230,,Other non ferrous metal production,B
