Inventory,Native coding scheme,Original variable,Native code,IPCC 2006 code,Mapping,Basis,Note
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,AGS,4C+4D1+4D2+4D4,3C2+3C3+3C4+3C7,1:many,crosswalk,Source does not separate the 4 categories.
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,AWB,4F,3C1b,1:1,crosswalk,
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,CHE,2B,2B,1:1,crosswalk,
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,ENE,1A1a,1A1a,1:1,crosswalk,
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,ENF,4A,3A1,1:1,crosswalk,
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,IDE,7B+7C,5A,1:1,crosswalk,
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,IND,1A2,1A2,1:1,crosswalk,
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,IRO,2C1a+2C1c+2C1d+2C1e+2C1f+2C2,2C1+2C2,1:many,crosswalk,Source does not separate the 2 categories.
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,MNM,4B,3A2,1:1,crosswalk,
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,N2O,4D3,3C5+3C6,1:many,crosswalk,Source does not separate the 2 categories.
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,PRO_COAL,1B1a,1B1a,1:1,crosswalk,
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,PRO_GAS,1B2c,1B2bi+1B2bii,1:many,crosswalk,Source does not separate the 2 categories.
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,PRO_OIL,1B2a1+1B2a2+1B2a3+1B2a4,1B2aiii2+1B2aiii3,1:many,crosswalk,Source does not separate the 2 categories.
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,PRU_SOL,3,2D3+2E+2F+2G,1:many,crosswalk,Source does not separate the 4 categories.
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,RCO,1A4,1A4+1A5,1:many,crosswalk,Source does not separate the 2 categories.
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,REF_TRF,1A1b+1A1c+1A5b1+1B1b+1B2a5+1B2a6+1B2b5+2C1b,1A1b+1A1ci+1A1cii+1A5biii+1B1b+1B2aiii6+1B2biii3+1B1c,1:many,crosswalk,Source does not separate the 8 categories.
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,SWD_INC,6C+6Dhaz,4C,1:1,crosswalk,
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,SWD_LDF,6A+6Dcom,4A+4B,1:many,crosswalk,Source does not separate the 2 categories.
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,TNR_Aviation_CDS,1A3a_CDS,1A3a,many:1,crosswalk,Summed with the other variables sharing this code.
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,TNR_Aviation_CRS,1A3a_CRS,1A3a,many:1,crosswalk,Summed with the other variables sharing this code.
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,TNR_Aviation_LTO,1A3a_LTO,1A3a,many:1,crosswalk,Summed with the other variables sharing this code.
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,TNR_Aviation_SPS,1A3a_SPS,1A3a,many:1,crosswalk,Summed with the other variables sharing this code.
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,TNR_Other,1A3c+1A3e,1A3c+1A3e,1:many,crosswalk,Source does not separate the 2 categories.
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,TNR_Ship,1A3d+1C2,1A3d,1:1,crosswalk,
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,TRO,1A3b,1A3b,1:1,crosswalk,
EDGAR v8.0,EDGAR sector abbreviations with IPCC 1996 codes,WWT,6B,4D,1:1,crosswalk,
GFEI,Descriptive variable names,Coal,,1B1,1:1,judgement,
